pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
0,31.04995,75.65022,5.92,0.20,0.76,0.59,0.696,0.724,7.70,0.526,5.71,5.37,0.00,indeterminate
1,31.04995,75.65122,6.09,0.20,0.74,0.58,0.691,0.733,7.75,0.603,5.91,5.58,0.00,indeterminate
2,31.04995,75.65222,6.67,0.20,0.69,0.57,0.685,0.765,7.79,0.643,6.53,6.16,0.00,indeterminate
3,31.04995,75.65322,6.52,0.20,0.72,0.57,0.692,0.755,7.83,0.655,6.41,6.00,0.00,indeterminate
4,31.04995,75.65422,6.52,0.20,0.73,0.58,0.685,0.751,7.90,0.640,6.44,6.00,0.00,indeterminate
5,31.04995,75.65522,6.61,0.20,0.62,0.56,0.675,0.758,7.88,0.636,6.53,6.11,0.00,indeterminate
6,31.04995,75.65622,6.48,0.20,0.62,0.56,0.673,0.754,7.81,0.659,6.44,5.98,0.00,indeterminate
7,31.04995,75.65722,6.42,0.20,0.52,0.53,0.664,0.753,7.74,0.637,6.32,5.93,0.00,indeterminate
8,31.04995,75.65822,6.19,0.19,0.52,0.53,0.662,0.743,7.66,0.575,6.10,5.71,0.00,indeterminate
9,31.04995,75.65922,5.55,0.20,0.54,0.54,0.651,0.703,7.61,0.607,5.47,5.07,0.00,indeterminate
10,31.04995,75.66022,4.82,0.19,0.53,0.52,0.655,0.646,7.53,0.461,4.68,4.34,0.00,indeterminate
34,31.04995,75.68422,2.94,0.17,0.15,0.45,0.190,0.462,6.65,0.505,3.04,2.63,0.17,indeterminate
35,31.04995,75.68522,3.90,0.16,0.14,0.44,0.260,0.603,6.64,0.515,3.90,3.64,0.00,indeterminate
36,31.04995,75.68622,-5.23,0.21,1.07,0.54,0.881,0.727,6.74,0.526,-5.45,-5.50,1.00,indeterminate
37,31.04995,75.68722,1.32,0.15,0.10,0.43,0.078,0.152,6.52,0.342,1.28,1.14,0.17,indeterminate
49,31.04995,75.69922,-0.29,0.16,0.52,0.47,0.215,0.012,6.53,0.306,-0.32,-0.49,0.33,indeterminate
50,31.04995,75.70022,0.63,0.17,0.27,0.47,0.207,0.038,6.60,0.305,0.59,0.33,0.50,indeterminate
51,31.04995,75.70122,1.00,0.16,0.30,0.44,0.180,0.093,6.54,0.347,1.00,0.82,0.33,indeterminate
52,31.04995,75.70222,1.77,0.17,0.21,0.44,0.265,0.248,6.46,0.361,1.88,1.54,0.17,indeterminate
53,31.04995,75.70322,0.79,0.17,0.39,0.49,0.288,0.062,6.45,0.337,0.83,0.56,0.33,indeterminate
63,31.04995,75.71322,-0.96,0.15,0.39,0.34,0.796,0.090,6.45,0.308,-0.78,-1.23,0.50,indeterminate
66,31.04995,75.71622,-0.01,0.19,0.12,0.45,0.432,0.000,6.55,0.175,0.29,-0.33,0.33,elastic_dominant
67,31.04995,75.71722,1.24,0.21,0.50,0.50,0.427,0.140,6.53,0.202,1.54,0.83,0.33,indeterminate
70,31.04995,75.72022,-2.52,0.17,0.26,0.39,0.885,0.395,6.55,0.259,-2.45,-2.70,0.67,indeterminate
107,31.04995,75.75722,-0.89,0.23,0.23,0.46,0.918,0.075,6.58,0.260,-0.42,-1.42,0.67,indeterminate
108,31.04995,75.75822,-3.17,0.18,0.51,0.43,0.046,0.529,6.31,0.272,-2.99,-3.46,0.67,indeterminate
136,31.04995,75.78622,-0.31,0.27,0.83,0.68,0.291,0.014,7.48,0.222,0.42,-0.70,0.50,elastic_dominant
137,31.04995,75.78722,1.06,0.25,0.80,0.67,0.256,0.084,7.48,0.237,1.67,0.69,0.17,indeterminate
138,31.04995,75.78822,0.90,0.27,1.00,0.72,0.292,0.064,7.56,0.266,1.72,0.61,0.17,indeterminate
139,31.04995,75.78922,-0.29,0.25,0.71,0.65,0.248,0.011,7.44,0.291,0.46,-0.58,0.67,elastic_dominant
141,31.04995,75.79122,-1.15,0.26,0.38,0.57,0.196,0.098,7.45,0.444,-0.31,-1.35,0.50,indeterminate
142,31.04995,75.79222,-0.34,0.26,0.90,0.69,0.264,0.017,7.46,0.474,0.38,-0.63,0.50,elastic_dominant
143,31.04995,75.79322,-0.27,0.26,0.84,0.70,0.271,0.012,7.52,0.565,0.40,-0.56,0.67,elastic_dominant
144,31.04995,75.79422,0.71,0.28,1.04,0.76,0.282,0.043,7.62,0.562,1.50,0.38,0.33,indeterminate
145,31.04995,75.79522,-0.37,0.28,0.89,0.76,0.290,0.017,7.66,0.537,0.44,-0.66,0.50,elastic_dominant
146,31.04995,75.79622,-2.92,0.29,1.68,0.86,0.291,0.401,7.70,0.512,-2.25,-3.23,0.83,indeterminate
147,31.04995,75.79722,-5.84,0.30,0.94,0.76,0.240,0.723,7.63,0.392,-5.18,-6.09,1.00,indeterminate
172,31.04995,75.82222,-4.96,0.24,1.03,0.67,0.240,0.687,7.09,0.204,-4.72,-5.29,1.00,indeterminate
173,31.04995,75.82322,-1.86,0.27,1.06,0.67,0.242,0.239,7.16,0.320,-1.22,-2.28,0.67,indeterminate
174,31.04995,75.82422,-1.50,0.27,0.96,0.66,0.257,0.172,7.14,0.388,-0.74,-1.91,0.67,indeterminate
175,31.04995,75.82522,-0.86,0.28,0.91,0.68,0.262,0.069,7.14,0.406,-0.08,-1.30,0.50,indeterminate
176,31.04995,75.82622,-0.97,0.28,1.17,0.73,0.283,0.089,7.12,0.351,-0.27,-1.42,0.67,indeterminate
204,31.04995,75.85422,-3.95,0.22,2.09,0.77,0.297,0.579,7.24,0.165,-3.43,-3.81,0.67,indeterminate
208,31.04995,75.85822,2.58,0.24,2.18,0.78,0.319,0.378,7.15,0.335,3.20,2.56,0.17,indeterminate
209,31.04995,75.85922,3.89,0.23,2.00,0.76,0.311,0.567,7.19,0.497,4.63,3.91,0.00,indeterminate
210,31.04995,75.86022,5.69,0.24,1.76,0.78,0.315,0.732,7.25,0.544,6.59,5.67,0.00,indeterminate
211,31.04995,75.86122,5.64,0.23,1.69,0.77,0.305,0.730,7.22,0.601,6.52,5.66,0.00,indeterminate
212,31.04995,75.86222,5.71,0.25,1.64,0.80,0.305,0.723,7.44,0.616,6.69,5.65,0.00,indeterminate
213,31.04995,75.86322,6.10,0.25,1.62,0.79,0.312,0.746,7.48,0.576,7.08,6.01,0.00,indeterminate
214,31.04995,75.86422,5.50,0.24,1.73,0.79,0.301,0.703,7.52,0.531,6.49,5.52,0.00,indeterminate
215,31.04995,75.86522,3.53,0.26,1.64,0.81,0.309,0.488,7.64,0.369,4.63,3.56,0.17,indeterminate
307,31.04995,75.95722,7.25,0.34,1.38,0.93,0.339,0.745,8.92,0.189,8.85,7.36,0.00,indeterminate
308,31.04995,75.95822,8.30,0.35,1.10,0.89,0.331,0.789,9.01,0.294,10.07,8.44,0.00,indeterminate
309,31.04995,75.95922,8.82,0.37,1.07,0.91,0.335,0.805,9.10,0.380,10.72,8.93,0.00,indeterminate
310,31.04995,75.96022,9.09,0.37,0.95,0.89,0.341,0.812,9.17,0.493,11.04,9.18,0.00,indeterminate
311,31.04995,75.96122,9.03,0.37,0.84,0.86,0.352,0.810,9.20,0.527,10.99,9.11,0.00,indeterminate
312,31.04995,75.96222,8.50,0.37,0.74,0.84,0.362,0.788,9.27,0.548,10.48,8.55,0.00,indeterminate
313,31.04995,75.96322,8.10,0.37,0.75,0.83,0.365,0.770,9.30,0.514,10.06,8.16,0.00,indeterminate
314,31.04995,75.96422,7.46,0.37,0.67,0.81,0.385,0.739,9.32,0.468,9.46,7.53,0.00,indeterminate
315,31.04995,75.96522,5.23,0.37,0.70,0.81,0.384,0.585,9.27,0.355,7.19,5.30,0.00,indeterminate
390,31.04995,76.04022,1.62,0.42,1.33,1.04,0.679,0.108,10.30,0.152,4.16,1.91,0.50,indeterminate
395,31.04995,76.04522,1.91,0.38,0.98,0.93,0.681,0.143,10.04,0.154,4.16,2.08,0.67,indeterminate
396,31.04995,76.04622,1.68,0.40,0.99,0.99,0.731,0.113,10.19,0.235,4.08,1.83,0.67,indeterminate
397,31.04995,76.04722,3.59,0.39,0.98,0.97,0.708,0.360,10.15,0.254,5.99,3.70,0.50,indeterminate
398,31.04995,76.04822,3.50,0.40,0.95,0.97,0.696,0.343,10.27,0.261,5.94,3.61,0.50,indeterminate
399,31.04995,76.04922,3.96,0.39,0.92,0.94,0.681,0.402,10.23,0.269,6.34,4.10,0.50,indeterminate
400,31.04995,76.05022,4.55,0.41,1.01,0.98,0.694,0.466,10.31,0.305,7.00,4.66,0.50,indeterminate
401,31.04895,75.65022,5.29,0.19,0.74,0.58,0.695,0.681,7.64,0.411,5.03,4.75,0.17,indeterminate
402,31.04895,75.65122,6.20,0.19,0.80,0.59,0.704,0.744,7.67,0.533,6.01,5.67,0.00,indeterminate
403,31.04895,75.65222,6.16,0.19,0.73,0.57,0.689,0.738,7.74,0.603,6.00,5.64,0.00,indeterminate
404,31.04895,75.65322,6.57,0.20,0.68,0.56,0.683,0.759,7.80,0.626,6.44,6.06,0.00,indeterminate
405,31.04895,75.65422,6.51,0.20,0.67,0.56,0.680,0.755,7.82,0.642,6.42,6.01,0.00,indeterminate
406,31.04895,75.65522,6.07,0.20,0.59,0.54,0.677,0.729,7.80,0.651,5.95,5.57,0.00,indeterminate
407,31.04895,75.65622,6.32,0.20,0.55,0.54,0.663,0.747,7.74,0.662,6.20,5.81,0.00,indeterminate
408,31.04895,75.65722,6.23,0.20,0.55,0.54,0.665,0.744,7.70,0.638,6.13,5.73,0.00,indeterminate
409,31.04895,75.65822,6.14,0.20,0.54,0.54,0.647,0.742,7.63,0.606,6.04,5.63,0.00,indeterminate
410,31.04895,75.65922,5.75,0.19,0.53,0.52,0.662,0.721,7.53,0.629,5.60,5.26,0.00,indeterminate
411,31.04895,75.66022,5.16,0.19,0.47,0.50,0.642,0.676,7.52,0.537,4.96,4.70,0.00,indeterminate
412,31.04895,75.66122,4.54,0.19,0.41,0.50,0.602,0.623,7.44,0.479,4.34,4.07,0.00,indeterminate
413,31.04895,75.66222,2.46,0.18,0.49,0.49,0.689,0.333,7.36,0.487,2.18,1.98,0.17,indeterminate
424,31.04895,75.67322,-1.43,0.24,0.27,0.55,0.197,0.145,7.35,0.398,-1.65,-1.90,0.83,indeterminate
425,31.04895,75.67422,-2.76,0.18,0.30,0.42,0.823,0.399,7.10,0.592,-3.10,-3.08,1.00,indeterminate
426,31.04895,75.67522,3.89,0.16,0.18,0.45,0.756,0.569,7.12,0.577,3.66,3.53,0.00,indeterminate
427,31.04895,75.67622,-1.97,0.17,0.22,0.47,0.647,0.248,7.19,0.595,-2.21,-2.28,1.00,indeterminate
428,31.04895,75.67722,-4.77,0.22,0.31,0.56,0.593,0.655,7.28,0.538,-5.25,-4.82,1.00,indeterminate
436,31.04895,75.68522,2.52,0.19,0.89,0.49,0.741,0.375,6.92,0.545,2.58,2.43,0.17,indeterminate
437,31.04895,75.68622,3.04,0.18,0.99,0.53,0.338,0.510,6.56,0.556,2.88,2.85,0.00,indeterminate
458,31.04895,75.70722,-0.06,0.16,0.13,0.40,0.522,0.001,6.46,0.151,0.13,-0.29,0.33,elastic_dominant
463,31.04895,75.71222,-7.02,0.32,1.29,0.78,0.261,0.805,7.30,0.329,-7.16,-7.79,0.83,indeterminate
464,31.04895,75.71322,2.74,0.18,0.21,0.38,0.644,0.452,6.36,0.298,2.82,2.35,0.33,indeterminate
465,31.04895,75.71422,0.27,0.20,0.16,0.41,0.632,0.008,6.54,0.293,0.72,-0.05,0.33,indeterminate
466,31.04895,75.71522,0.13,0.24,0.04,0.44,0.528,0.002,6.56,0.293,0.69,-0.32,0.50,indeterminate
470,31.04895,75.71922,-0.08,0.19,0.28,0.47,0.261,0.002,6.53,0.174,0.10,-0.24,0.67,elastic_dominant
471,31.04895,75.72022,0.39,0.26,0.83,0.58,0.394,0.020,6.93,0.215,1.10,0.26,0.33,elastic_dominant
491,31.04895,75.74022,-1.66,0.20,1.11,0.60,0.715,0.216,6.72,0.553,-0.86,-1.80,0.83,indeterminate
492,31.04895,75.74122,-3.26,0.18,0.15,0.42,0.927,0.530,6.47,0.525,-2.82,-3.34,0.83,indeterminate
493,31.04895,75.74222,-7.10,0.23,0.07,0.51,0.633,0.838,6.55,0.528,-6.10,-7.10,1.00,indeterminate
534,31.04895,75.78322,-0.53,0.27,0.68,0.66,0.283,0.027,7.30,0.194,0.28,-0.89,0.67,indeterminate
535,31.04895,75.78422,0.47,0.24,1.08,0.73,0.267,0.027,7.11,0.188,1.11,0.20,0.50,elastic_dominant
536,31.04895,75.78522,-1.87,0.25,0.86,0.70,0.241,0.235,7.21,0.243,-1.03,-2.06,0.67,indeterminate
540,31.04895,75.78922,-4.88,0.26,0.93,0.60,0.089,0.661,7.38,0.230,-4.19,-5.06,0.83,indeterminate
542,31.04895,75.79122,-3.18,0.26,0.82,0.67,0.245,0.451,7.44,0.287,-2.48,-3.52,0.67,indeterminate
543,31.04895,75.79222,-1.29,0.26,1.12,0.76,0.263,0.124,7.59,0.407,-0.53,-1.52,0.67,indeterminate
544,31.04895,75.79322,-1.22,0.28,0.76,0.67,0.236,0.109,7.58,0.522,-0.43,-1.55,0.67,indeterminate
545,31.04895,75.79422,-0.11,0.28,1.08,0.75,0.277,0.010,7.60,0.545,0.61,-0.42,0.33,elastic_dominant
546,31.04895,75.79522,-0.28,0.29,0.90,0.74,0.274,0.013,7.64,0.542,0.56,-0.60,0.67,elastic_dominant
547,31.04895,75.79622,-1.88,0.28,1.23,0.80,0.286,0.223,7.63,0.510,-1.13,-2.15,0.67,indeterminate
548,31.04895,75.79722,-3.14,0.29,0.73,0.75,0.278,0.429,7.67,0.383,-2.25,-3.26,0.83,indeterminate
574,31.04895,75.82322,-5.60,0.26,1.48,0.77,0.263,0.726,7.30,0.211,-5.03,-5.90,1.00,indeterminate
576,31.04895,75.82522,-0.61,0.27,1.01,0.69,0.278,0.041,7.22,0.323,0.09,-1.01,0.33,indeterminate
577,31.04895,75.82622,-0.67,0.29,1.14,0.73,0.268,0.048,7.27,0.317,0.10,-1.12,0.67,indeterminate
609,31.04895,75.85822,3.07,0.23,1.87,0.77,0.323,0.454,7.14,0.397,3.86,3.17,0.17,indeterminate
610,31.04895,75.85922,4.84,0.24,1.93,0.78,0.315,0.671,7.14,0.432,5.69,4.83,0.00,indeterminate
611,31.04895,75.86022,5.60,0.23,1.65,0.77,0.314,0.728,7.20,0.460,6.44,5.65,0.00,indeterminate
612,31.04895,75.86122,4.41,0.21,1.84,0.75,0.307,0.629,7.14,0.495,5.16,4.49,0.00,indeterminate
613,31.04895,75.86222,4.41,0.23,1.70,0.77,0.314,0.622,7.25,0.490,5.29,4.39,0.00,indeterminate
614,31.04895,75.86322,4.18,0.22,1.77,0.75,0.307,0.597,7.24,0.424,5.02,4.21,0.00,indeterminate
616,31.04895,75.86522,3.02,0.23,2.01,0.75,0.314,0.438,7.27,0.218,3.75,3.08,0.17,indeterminate
622,31.04895,75.87122,2.16,0.24,1.74,0.76,0.322,0.275,7.52,0.161,2.89,2.21,0.17,indeterminate
706,31.04895,75.95522,7.52,0.36,1.59,0.99,0.317,0.760,8.87,0.164,9.30,7.72,0.00,indeterminate
707,31.04895,75.95622,8.09,0.36,1.57,0.99,0.320,0.783,8.94,0.191,9.81,8.21,0.00,indeterminate
708,31.04895,75.95722,8.47,0.36,1.28,0.94,0.326,0.798,8.95,0.276,10.25,8.56,0.00,indeterminate
709,31.04895,75.95822,8.12,0.36,1.12,0.91,0.331,0.781,9.03,0.347,9.94,8.23,0.00,indeterminate
710,31.04895,75.95922,8.52,0.36,1.01,0.89,0.328,0.796,9.07,0.424,10.39,8.63,0.00,indeterminate
711,31.04895,75.96022,9.00,0.37,0.94,0.89,0.346,0.810,9.17,0.488,10.91,9.08,0.00,indeterminate
712,31.04895,75.96122,8.41,0.37,0.86,0.87,0.355,0.786,9.20,0.484,10.36,8.48,0.00,indeterminate
713,31.04895,75.96222,7.59,0.37,0.75,0.84,0.363,0.747,9.28,0.441,9.55,7.65,0.00,indeterminate
714,31.04895,75.96322,7.42,0.37,0.85,0.86,0.367,0.739,9.27,0.379,9.35,7.46,0.00,indeterminate
715,31.04895,75.96422,5.41,0.37,0.83,0.84,0.359,0.602,9.24,0.308,7.33,5.45,0.00,indeterminate
716,31.04895,75.96522,1.46,0.36,0.70,0.79,0.389,0.101,9.23,0.210,3.34,1.59,0.33,indeterminate
796,31.04895,76.04522,2.91,0.41,0.99,0.97,0.695,0.272,10.15,0.249,5.37,2.97,0.50,indeterminate
797,31.04895,76.04622,3.93,0.39,0.98,0.95,0.703,0.404,10.10,0.342,6.26,4.00,0.50,indeterminate
798,31.04895,76.04722,4.78,0.40,1.04,0.99,0.714,0.497,10.17,0.385,7.21,4.89,0.33,indeterminate
799,31.04895,76.04822,4.87,0.41,1.06,1.02,0.716,0.501,10.29,0.421,7.41,4.98,0.33,indeterminate
800,31.04895,76.04922,5.66,0.40,1.11,1.00,0.708,0.577,10.26,0.467,8.13,5.79,0.33,indeterminate
801,31.04895,76.05022,6.00,0.40,1.10,1.00,0.705,0.604,10.27,0.552,8.46,6.12,0.33,indeterminate
802,31.04795,75.65022,4.61,0.19,0.83,0.59,0.705,0.619,7.65,0.199,4.37,4.06,0.17,indeterminate
803,31.04795,75.65122,5.10,0.19,0.81,0.59,0.701,0.667,7.60,0.342,4.87,4.56,0.17,indeterminate
804,31.04795,75.65222,5.25,0.19,0.73,0.58,0.688,0.675,7.68,0.464,4.99,4.71,0.17,indeterminate
805,31.04795,75.65322,5.80,0.19,0.74,0.57,0.696,0.715,7.72,0.522,5.61,5.27,0.00,indeterminate
806,31.04795,75.65422,6.32,0.20,0.65,0.55,0.683,0.747,7.75,0.602,6.18,5.81,0.00,indeterminate
807,31.04795,75.65522,5.98,0.20,0.63,0.55,0.687,0.727,7.73,0.606,5.84,5.46,0.00,indeterminate
808,31.04795,75.65622,5.86,0.20,0.55,0.53,0.674,0.721,7.68,0.582,5.70,5.34,0.00,indeterminate
809,31.04795,75.65722,5.88,0.20,0.52,0.53,0.662,0.723,7.66,0.541,5.74,5.36,0.00,indeterminate
810,31.04795,75.65822,5.37,0.19,0.58,0.53,0.676,0.694,7.51,0.555,5.24,4.88,0.00,indeterminate
811,31.04795,75.65922,5.11,0.19,0.50,0.51,0.655,0.675,7.49,0.573,4.92,4.63,0.00,indeterminate
812,31.04795,75.66022,4.42,0.19,0.49,0.50,0.664,0.608,7.48,0.520,4.23,3.95,0.00,indeterminate
813,31.04795,75.66122,3.77,0.19,0.45,0.50,0.652,0.534,7.43,0.490,3.57,3.32,0.17,indeterminate
825,31.04795,75.67322,-0.70,0.24,0.84,0.51,0.884,0.044,7.32,0.545,-1.48,-1.16,0.67,indeterminate
826,31.04795,75.67422,0.01,0.24,0.74,0.60,0.900,0.089,7.32,0.575,0.15,-0.19,0.50,elastic_dominant
827,31.04795,75.67522,1.33,0.16,0.67,0.43,0.748,0.143,6.99,0.574,1.10,0.88,0.17,indeterminate
828,31.04795,75.67622,-1.63,0.17,1.38,0.56,0.795,0.209,6.82,0.592,-1.83,-2.00,0.67,indeterminate
829,31.04795,75.67722,0.47,0.24,0.39,0.63,0.520,0.019,7.32,0.378,1.28,0.55,0.33,indeterminate
855,31.04795,75.70322,1.55,0.17,0.43,0.47,0.237,0.197,6.57,0.180,1.51,1.33,0.17,indeterminate
864,31.04795,75.71222,2.22,0.18,0.44,0.47,0.468,0.336,6.57,0.236,2.51,1.89,0.17,indeterminate
865,31.04795,75.71322,-0.60,0.17,0.21,0.36,0.000,0.039,6.40,0.243,-0.31,-0.81,0.50,indeterminate
867,31.04795,75.71522,-0.28,0.19,0.28,0.43,0.206,0.009,6.43,0.227,0.07,-0.57,0.50,indeterminate
934,31.04795,75.78222,-5.81,0.24,0.76,0.60,0.198,0.757,6.95,0.202,-5.21,-6.07,0.83,indeterminate
935,31.04795,75.78322,-1.86,0.22,0.87,0.66,0.241,0.246,6.99,0.227,-1.28,-2.08,0.67,indeterminate
936,31.04795,75.78422,-2.56,0.25,0.86,0.67,0.224,0.369,7.13,0.221,-1.84,-2.84,0.67,indeterminate
937,31.04795,75.78522,-3.73,0.26,0.78,0.64,0.183,0.544,7.23,0.240,-2.89,-4.00,0.67,indeterminate
938,31.04795,75.78622,-1.56,0.25,0.90,0.73,0.271,0.179,7.23,0.209,-0.86,-1.78,0.67,indeterminate
947,31.04795,75.79522,-2.76,0.30,1.22,0.80,0.281,0.377,7.61,0.376,-2.06,-3.14,0.67,indeterminate
948,31.04795,75.79622,-3.79,0.30,1.16,0.80,0.281,0.524,7.67,0.368,-3.10,-4.19,0.83,indeterminate
1010,31.04795,75.85822,2.95,0.23,2.39,0.73,0.313,0.446,7.06,0.408,3.55,3.15,0.17,indeterminate
1011,31.04795,75.85922,2.04,0.19,2.24,0.67,0.307,0.304,6.78,0.411,2.44,2.14,0.17,indeterminate
1012,31.04795,75.86022,3.86,0.23,1.57,0.75,0.326,0.566,7.13,0.443,4.66,3.93,0.17,indeterminate
1013,31.04795,75.86122,3.39,0.22,1.90,0.74,0.306,0.503,7.13,0.495,4.11,3.45,0.17,indeterminate
1014,31.04795,75.86222,2.02,0.26,2.25,0.86,0.304,0.274,7.25,0.375,2.96,2.10,0.33,indeterminate
1015,31.04795,75.86322,3.53,0.25,2.29,0.83,0.295,0.517,7.25,0.282,4.35,3.72,0.17,indeterminate
1016,31.04795,75.86422,2.43,0.24,2.34,0.77,0.287,0.336,7.36,0.223,3.22,2.61,0.33,indeterminate
1106,31.04795,75.95422,6.59,0.34,1.74,1.00,0.320,0.713,8.79,0.216,8.25,6.81,0.00,indeterminate
1107,31.04795,75.95522,7.32,0.36,1.35,0.95,0.317,0.747,8.94,0.283,9.12,7.54,0.00,indeterminate
1108,31.04795,75.95622,8.14,0.36,1.38,0.97,0.327,0.784,8.97,0.327,9.96,8.30,0.00,indeterminate
1109,31.04795,75.95722,8.51,0.37,1.29,0.95,0.327,0.798,9.00,0.373,10.37,8.66,0.00,indeterminate
1110,31.04795,75.95822,8.34,0.36,1.18,0.93,0.328,0.790,9.02,0.374,10.17,8.45,0.00,indeterminate
1111,31.04795,75.95922,8.64,0.36,1.02,0.90,0.335,0.800,9.06,0.377,10.53,8.76,0.00,indeterminate
1112,31.04795,75.96022,8.68,0.37,0.96,0.89,0.347,0.799,9.13,0.357,10.57,8.76,0.00,indeterminate
1113,31.04795,75.96122,7.96,0.37,0.84,0.87,0.354,0.768,9.19,0.325,9.89,8.03,0.00,indeterminate
1114,31.04795,75.96222,7.43,0.38,0.84,0.87,0.362,0.740,9.26,0.268,9.38,7.47,0.00,indeterminate
1115,31.04795,75.96322,3.22,0.36,0.81,0.83,0.351,0.354,9.14,0.223,5.07,3.35,0.17,indeterminate
1116,31.04795,75.96422,1.63,0.36,0.92,0.85,0.370,0.125,9.15,0.154,3.45,1.79,0.33,indeterminate
1197,31.04795,76.04522,1.91,0.39,1.10,0.95,0.686,0.147,9.98,0.278,4.25,2.05,0.50,indeterminate
1198,31.04795,76.04622,2.34,0.40,1.10,0.98,0.727,0.199,10.08,0.357,4.78,2.49,0.50,indeterminate
1199,31.04795,76.04722,4.85,0.39,1.11,1.00,0.732,0.507,10.13,0.484,7.29,5.01,0.33,indeterminate
1200,31.04795,76.04822,6.44,0.40,1.07,0.99,0.700,0.640,10.20,0.527,8.93,6.57,0.33,indeterminate
1201,31.04795,76.04922,6.63,0.40,1.20,1.01,0.704,0.652,10.24,0.561,9.13,6.77,0.00,indeterminate
1202,31.04795,76.05022,6.57,0.40,1.26,1.01,0.706,0.647,10.25,0.639,9.10,6.71,0.00,indeterminate
1203,31.04695,75.65022,3.75,0.19,0.81,0.59,0.714,0.522,7.58,0.337,3.46,3.16,0.17,indeterminate
1204,31.04695,75.65122,4.96,0.19,0.79,0.59,0.692,0.656,7.59,0.371,4.73,4.42,0.17,indeterminate
1205,31.04695,75.65222,5.05,0.19,0.81,0.60,0.699,0.663,7.61,0.412,4.86,4.49,0.17,indeterminate
1206,31.04695,75.65322,5.41,0.20,0.84,0.60,0.706,0.691,7.64,0.489,5.23,4.85,0.00,indeterminate
1207,31.04695,75.65422,5.47,0.20,0.73,0.57,0.699,0.693,7.68,0.580,5.29,4.94,0.00,indeterminate
1208,31.04695,75.65522,5.59,0.20,0.67,0.55,0.700,0.704,7.65,0.600,5.43,5.07,0.00,indeterminate
1209,31.04695,75.65622,5.48,0.20,0.65,0.55,0.686,0.696,7.63,0.562,5.30,4.95,0.00,indeterminate
1210,31.04695,75.65722,5.43,0.19,0.54,0.52,0.679,0.697,7.55,0.488,5.25,4.93,0.00,indeterminate
1211,31.04695,75.65822,5.03,0.19,0.59,0.53,0.672,0.666,7.50,0.394,4.85,4.54,0.00,indeterminate
1212,31.04695,75.65922,4.28,0.19,0.50,0.51,0.651,0.594,7.48,0.265,4.08,3.81,0.17,indeterminate
1213,31.04695,75.66022,4.49,0.19,0.54,0.51,0.653,0.617,7.46,0.187,4.35,4.05,0.00,indeterminate
1214,31.04695,75.66122,3.41,0.19,0.48,0.51,0.625,0.483,7.45,0.179,3.27,2.96,0.00,indeterminate
1219,31.04695,75.66622,-0.52,0.20,0.26,0.51,0.604,0.022,7.38,0.151,-0.77,-0.85,0.50,indeterminate
1220,31.04695,75.66722,-0.18,0.20,0.31,0.50,0.646,0.003,7.36,0.276,-0.32,-0.52,0.50,indeterminate
1263,31.04695,75.71022,1.62,0.17,0.08,0.39,0.496,0.215,6.48,0.258,1.84,1.31,0.33,indeterminate
1264,31.04695,75.71122,2.38,0.18,0.18,0.41,0.582,0.372,6.49,0.258,2.55,1.99,0.33,indeterminate
1265,31.04695,75.71222,1.23,0.17,0.32,0.35,0.857,0.141,6.41,0.242,1.42,0.97,0.33,indeterminate
1266,31.04695,75.71322,0.14,0.18,0.11,0.40,0.962,0.002,6.49,0.176,0.52,-0.13,0.50,indeterminate
1267,31.04695,75.71422,-3.95,0.18,1.17,0.55,0.880,0.629,6.39,0.279,-3.49,-4.04,0.83,indeterminate
1335,31.04695,75.78222,-2.80,0.25,0.69,0.66,0.273,0.420,6.99,0.161,-2.05,-3.04,0.67,indeterminate
1336,31.04695,75.78322,-1.12,0.23,0.90,0.67,0.244,0.112,6.97,0.177,-0.45,-1.34,0.67,indeterminate
1337,31.04695,75.78422,-1.77,0.24,0.87,0.68,0.245,0.230,6.96,0.201,-1.10,-2.01,0.67,indeterminate
1345,31.04695,75.79222,-2.94,0.27,0.65,0.67,0.260,0.403,7.57,0.209,-2.20,-3.14,0.83,indeterminate
1346,31.04695,75.79322,-1.45,0.29,1.47,0.85,0.322,0.150,7.72,0.230,-0.63,-1.69,0.67,indeterminate
1413,31.04695,75.86022,2.28,0.22,1.59,0.74,0.309,0.328,6.96,0.290,3.14,2.44,0.17,indeterminate
1414,31.04695,75.86122,2.19,0.22,2.01,0.74,0.305,0.315,6.99,0.389,2.91,2.37,0.17,indeterminate
1415,31.04695,75.86222,7.04,0.25,1.73,0.77,0.320,0.810,7.15,0.316,7.93,7.22,0.00,indeterminate
1416,31.04695,75.86322,4.39,0.22,2.47,0.76,0.311,0.641,6.97,0.298,4.91,4.57,0.00,indeterminate
1417,31.04695,75.86422,0.13,0.24,2.41,0.82,0.283,0.045,7.51,0.283,0.77,0.57,0.33,elastic_dominant
1501,31.04695,75.94822,0.39,0.31,1.24,0.85,0.269,0.017,8.57,0.925,1.94,0.75,0.33,elastic_dominant
1502,31.04695,75.94922,4.77,0.32,2.29,0.99,0.311,0.589,8.42,0.645,6.36,5.15,0.00,indeterminate
