pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
43,28.64906,76.94333,4.18,0.40,4.77,1.46,0.960,0.424,13.77,0.208,5.41,4.20,0.29,indeterminate
44,28.64906,76.94433,-4.60,0.43,3.48,1.40,0.933,0.414,13.87,0.262,-4.44,-4.07,0.71,indeterminate
45,28.64906,76.94533,3.57,0.42,3.99,1.42,0.964,0.358,13.46,0.275,5.02,3.36,0.29,indeterminate
46,28.64906,76.94633,-0.55,0.40,3.49,1.35,0.973,0.037,13.51,0.277,-0.18,-0.20,0.71,elastic_dominant
47,28.64906,76.94733,-4.94,0.40,2.97,1.28,0.948,0.465,13.39,0.225,-4.80,-4.49,0.57,indeterminate
48,28.64906,76.94833,0.19,0.39,3.71,1.33,0.958,0.042,13.31,0.197,0.76,0.41,0.57,elastic_dominant
49,28.64906,76.94933,-0.39,0.39,3.37,1.33,0.949,0.032,13.27,0.224,0.12,-0.17,0.57,elastic_dominant
50,28.64906,76.95033,1.42,0.38,3.57,1.29,0.955,0.118,13.07,0.245,1.84,1.69,0.57,elastic_dominant
51,28.64906,76.95133,2.25,0.42,3.36,1.39,0.974,0.201,13.16,0.278,3.05,2.25,0.43,indeterminate
52,28.64906,76.95233,2.54,0.42,3.38,1.38,0.967,0.236,13.16,0.267,3.24,2.61,0.43,indeterminate
53,28.64906,76.95333,1.84,0.43,3.31,1.39,0.966,0.155,13.09,0.299,2.57,1.88,0.43,indeterminate
54,28.64906,76.95433,2.18,0.42,3.44,1.39,0.966,0.196,13.08,0.292,2.94,2.21,0.43,indeterminate
55,28.64906,76.95533,0.96,0.38,3.61,1.30,0.946,0.081,12.90,0.246,1.36,1.25,0.57,elastic_dominant
56,28.64906,76.95633,2.06,0.39,3.73,1.33,0.949,0.191,12.97,0.216,2.67,2.28,0.43,indeterminate
116,28.64906,77.01633,-0.42,0.47,2.29,1.36,0.930,0.019,12.77,0.165,1.25,-0.99,0.57,elastic_dominant
117,28.64906,77.01733,-0.14,0.47,2.16,1.33,0.907,0.014,12.76,0.231,1.36,-0.61,0.57,elastic_dominant
118,28.64906,77.01833,-0.48,0.46,2.23,1.31,0.908,0.021,12.69,0.284,0.80,-0.81,0.57,elastic_dominant
119,28.64906,77.01933,-1.07,0.45,2.24,1.29,0.909,0.052,12.63,0.338,-0.12,-1.28,0.57,elastic_dominant
120,28.64906,77.02033,1.25,0.48,2.07,1.31,0.937,0.079,12.69,0.371,2.61,0.79,0.43,indeterminate
121,28.64906,77.02133,1.16,0.48,2.09,1.30,0.942,0.072,12.68,0.391,2.41,0.77,0.43,indeterminate
122,28.64906,77.02233,1.07,0.48,2.06,1.29,0.942,0.063,12.75,0.398,2.23,0.75,0.43,indeterminate
123,28.64906,77.02333,1.51,0.48,2.05,1.30,0.940,0.104,12.76,0.370,2.78,1.12,0.43,indeterminate
124,28.64906,77.02433,1.08,0.48,2.03,1.29,0.938,0.064,12.70,0.342,2.21,0.78,0.43,indeterminate
125,28.64906,77.02533,1.37,0.48,2.04,1.30,0.933,0.090,12.70,0.362,2.56,1.03,0.43,indeterminate
126,28.64906,77.02633,1.35,0.49,1.91,1.28,0.923,0.087,12.65,0.369,2.62,0.94,0.43,indeterminate
127,28.64906,77.02733,2.16,0.48,2.00,1.29,0.929,0.182,12.60,0.371,3.40,1.79,0.43,indeterminate
128,28.64906,77.02833,1.96,0.49,2.00,1.29,0.930,0.156,12.63,0.357,3.18,1.61,0.43,indeterminate
129,28.64906,77.02933,0.79,0.46,2.16,1.28,0.890,0.044,12.57,0.304,1.60,0.68,0.43,elastic_dominant
130,28.64906,77.03033,1.80,0.49,1.91,1.28,0.913,0.134,12.66,0.255,2.83,1.54,0.43,indeterminate
131,28.64906,77.03133,1.98,0.49,1.93,1.29,0.921,0.154,12.76,0.243,3.07,1.70,0.43,indeterminate
132,28.64906,77.03233,2.38,0.49,2.03,1.30,0.924,0.205,12.73,0.225,3.48,2.11,0.43,indeterminate
133,28.64906,77.03333,2.09,0.49,1.91,1.27,0.919,0.169,12.68,0.255,2.98,1.94,0.43,indeterminate
134,28.64906,77.03433,2.36,0.49,1.95,1.27,0.925,0.203,12.72,0.265,3.19,2.26,0.43,indeterminate
135,28.64906,77.03533,2.26,0.49,1.88,1.26,0.926,0.188,12.76,0.264,3.07,2.17,0.43,indeterminate
136,28.64906,77.03633,1.10,0.48,1.92,1.26,0.907,0.062,12.80,0.246,1.49,1.25,0.43,indeterminate
137,28.64906,77.03733,1.36,0.48,1.99,1.27,0.902,0.086,12.82,0.196,1.77,1.51,0.43,indeterminate
138,28.64906,77.03833,1.61,0.48,1.80,1.24,0.905,0.111,12.73,0.216,2.12,1.75,0.43,indeterminate
139,28.64906,77.03933,1.24,0.48,1.62,1.22,0.905,0.072,12.73,0.267,1.98,1.35,0.43,indeterminate
140,28.64906,77.04033,1.93,0.49,1.67,1.23,0.918,0.146,12.74,0.343,2.50,1.95,0.43,indeterminate
141,28.64906,77.04133,2.23,0.50,1.60,1.22,0.928,0.178,12.89,0.379,2.77,2.26,0.43,indeterminate
142,28.64906,77.04233,2.18,0.50,1.63,1.23,0.918,0.170,12.97,0.456,2.59,2.30,0.43,indeterminate
143,28.64906,77.04333,1.94,0.50,1.53,1.20,0.925,0.140,13.00,0.536,2.25,2.12,0.43,indeterminate
144,28.64906,77.04433,2.09,0.50,1.55,1.22,0.921,0.156,13.05,0.621,2.44,2.23,0.43,indeterminate
145,28.64906,77.04533,2.43,0.50,1.59,1.23,0.908,0.198,13.03,0.577,2.88,2.50,0.43,indeterminate
146,28.64906,77.04633,1.63,0.50,1.35,1.19,0.909,0.103,13.06,0.519,1.96,1.77,0.43,indeterminate
147,28.64906,77.04733,1.31,0.50,1.50,1.23,0.897,0.072,13.17,0.315,1.66,1.51,0.43,indeterminate
148,28.64906,77.04833,0.95,0.50,1.45,1.23,0.894,0.043,13.15,0.245,1.19,1.21,0.43,indeterminate
149,28.64906,77.04933,0.53,0.50,1.35,1.22,0.886,0.018,13.14,0.261,0.83,0.72,0.57,elastic_dominant
150,28.64906,77.05033,0.70,0.50,1.43,1.23,0.892,0.027,13.12,0.281,1.02,0.89,0.57,elastic_dominant
151,28.64906,77.05133,0.98,0.50,1.52,1.25,0.895,0.046,13.14,0.243,1.25,1.20,0.43,indeterminate
152,28.64906,77.05233,1.01,0.50,1.49,1.25,0.887,0.048,13.07,0.209,1.38,1.16,0.57,indeterminate
153,28.64906,77.05333,1.14,0.49,1.51,1.26,0.888,0.059,12.96,0.204,1.43,1.32,0.43,indeterminate
154,28.64906,77.05433,1.01,0.49,1.49,1.25,0.893,0.049,12.96,0.250,1.19,1.26,0.43,indeterminate
155,28.64906,77.05533,0.72,0.50,1.48,1.25,0.893,0.029,13.06,0.280,0.87,1.00,0.43,elastic_dominant
156,28.64906,77.05633,0.96,0.50,1.68,1.29,0.895,0.046,13.03,0.280,1.23,1.12,0.43,indeterminate
157,28.64906,77.05733,0.94,0.50,1.77,1.32,0.899,0.046,13.06,0.260,1.31,1.02,0.43,indeterminate
158,28.64906,77.05833,0.91,0.50,1.67,1.31,0.901,0.042,13.10,0.232,1.34,1.01,0.43,indeterminate
159,28.64906,77.05933,0.70,0.50,1.66,1.29,0.907,0.030,13.01,0.268,0.96,0.87,0.57,elastic_dominant
160,28.64906,77.06033,0.86,0.50,1.70,1.31,0.908,0.041,12.98,0.323,1.21,0.96,0.43,indeterminate
161,28.64906,77.06133,1.13,0.51,1.71,1.31,0.923,0.060,13.07,0.368,1.49,1.24,0.43,indeterminate
162,28.64906,77.06233,1.49,0.50,1.76,1.32,0.926,0.093,13.08,0.421,1.96,1.53,0.43,indeterminate
163,28.64906,77.06333,1.31,0.50,1.77,1.33,0.926,0.076,13.08,0.450,1.80,1.35,0.43,indeterminate
164,28.64906,77.06433,1.22,0.50,1.79,1.32,0.926,0.068,13.15,0.465,1.69,1.27,0.43,indeterminate
165,28.64906,77.06533,1.32,0.50,1.78,1.32,0.925,0.077,13.16,0.463,1.83,1.36,0.43,indeterminate
166,28.64906,77.06633,1.66,0.49,1.78,1.32,0.925,0.110,13.11,0.460,2.16,1.70,0.43,indeterminate
167,28.64906,77.06733,1.69,0.49,1.82,1.31,0.923,0.114,13.10,0.445,2.13,1.77,0.43,indeterminate
168,28.64906,77.06833,1.87,0.49,1.83,1.32,0.917,0.132,13.17,0.414,2.40,1.90,0.43,indeterminate
169,28.64906,77.06933,1.96,0.49,1.83,1.32,0.916,0.143,13.17,0.328,2.43,2.03,0.43,indeterminate
170,28.64906,77.07033,1.89,0.48,1.78,1.31,0.909,0.135,13.11,0.248,2.33,1.97,0.43,indeterminate
171,28.64906,77.07133,1.91,0.48,1.74,1.30,0.910,0.138,13.07,0.186,2.40,1.94,0.43,indeterminate
172,28.64906,77.07233,1.28,0.47,1.61,1.27,0.897,0.072,13.00,0.245,1.41,1.49,0.43,indeterminate
174,28.64906,77.07433,2.19,0.46,1.52,1.25,0.898,0.174,12.77,0.349,2.61,2.22,0.43,indeterminate
175,28.64906,77.07533,1.95,0.46,1.35,1.22,0.876,0.140,12.88,0.328,2.33,2.03,0.43,indeterminate
176,28.64906,77.07633,2.29,0.46,1.41,1.24,0.861,0.184,12.81,0.217,2.74,2.33,0.43,indeterminate
177,28.64906,77.07733,1.99,0.45,1.39,1.23,0.856,0.146,12.84,0.180,2.46,2.02,0.43,indeterminate
178,28.64906,77.07833,2.44,0.45,1.42,1.25,0.856,0.199,12.94,0.184,3.07,2.38,0.43,indeterminate
180,28.64906,77.08033,3.13,0.47,1.71,1.34,0.867,0.272,13.50,0.254,3.89,2.99,0.43,indeterminate
181,28.64906,77.08133,3.32,0.46,1.77,1.35,0.870,0.291,13.64,0.253,4.11,3.17,0.43,indeterminate
182,28.64906,77.08233,3.18,0.46,1.78,1.35,0.869,0.274,13.68,0.369,3.94,3.05,0.43,indeterminate
183,28.64906,77.08333,3.20,0.46,1.86,1.38,0.863,0.272,13.81,0.354,4.05,3.01,0.43,indeterminate
184,28.64906,77.08433,2.98,0.46,1.89,1.38,0.866,0.246,13.83,0.359,3.81,2.82,0.43,indeterminate
185,28.64906,77.08533,2.79,0.45,1.87,1.37,0.871,0.225,13.80,0.403,3.53,2.68,0.43,indeterminate
186,28.64906,77.08633,2.35,0.45,1.92,1.36,0.870,0.172,13.86,0.396,2.88,2.37,0.43,indeterminate
187,28.64906,77.08733,2.45,0.45,1.90,1.37,0.857,0.183,13.84,0.450,3.13,2.36,0.43,indeterminate
188,28.64906,77.08833,2.31,0.44,1.91,1.36,0.859,0.169,13.80,0.426,2.92,2.26,0.43,indeterminate
189,28.64906,77.08933,2.15,0.45,1.89,1.36,0.849,0.150,13.87,0.350,2.79,2.16,0.43,indeterminate
190,28.64906,77.09033,2.42,0.45,1.94,1.37,0.847,0.178,13.95,0.261,3.15,2.38,0.43,indeterminate
191,28.64906,77.09133,2.20,0.45,1.98,1.38,0.844,0.154,13.96,0.228,2.91,2.17,0.43,indeterminate
193,28.64906,77.09333,1.81,0.44,2.12,1.39,0.837,0.116,13.80,0.326,2.31,1.81,0.43,indeterminate
194,28.64906,77.09433,1.76,0.43,2.10,1.37,0.831,0.114,13.60,0.400,2.29,1.72,0.43,indeterminate
195,28.64906,77.09533,1.65,0.43,2.08,1.37,0.825,0.102,13.56,0.426,2.15,1.62,0.43,indeterminate
196,28.64906,77.09633,1.50,0.43,2.13,1.37,0.823,0.089,13.55,0.467,1.94,1.50,0.43,indeterminate
197,28.64906,77.09733,1.41,0.42,2.14,1.36,0.820,0.083,13.38,0.473,1.81,1.43,0.43,indeterminate
198,28.64906,77.09833,1.85,0.42,2.25,1.36,0.809,0.128,13.27,0.491,2.30,1.80,0.43,indeterminate
199,28.64906,77.09933,0.96,0.40,2.09,1.29,0.804,0.050,12.77,0.514,1.20,1.02,0.43,elastic_dominant
200,28.64906,77.10033,1.19,0.40,2.16,1.28,0.799,0.071,12.60,0.551,1.39,1.27,0.43,indeterminate
201,28.64906,77.10133,1.21,0.40,2.19,1.28,0.796,0.073,12.58,0.556,1.42,1.28,0.43,indeterminate
202,28.64906,77.10233,1.15,0.40,2.23,1.28,0.794,0.069,12.55,0.552,1.27,1.28,0.43,indeterminate
203,28.64906,77.10333,1.39,0.39,2.27,1.29,0.796,0.092,12.53,0.550,1.50,1.54,0.43,indeterminate
204,28.64906,77.10433,1.52,0.40,2.32,1.30,0.798,0.105,12.59,0.508,1.68,1.65,0.43,indeterminate
205,28.64906,77.10533,1.61,0.40,2.32,1.30,0.801,0.114,12.60,0.465,1.78,1.74,0.43,indeterminate
206,28.64906,77.10633,1.88,0.40,2.29,1.30,0.803,0.145,12.56,0.404,2.09,1.99,0.43,indeterminate
207,28.64906,77.10733,1.93,0.41,2.30,1.31,0.804,0.149,12.63,0.380,2.18,2.01,0.43,indeterminate
208,28.64906,77.10833,2.08,0.41,2.27,1.30,0.806,0.168,12.58,0.421,2.33,2.16,0.43,indeterminate
209,28.64906,77.10933,2.11,0.40,2.26,1.29,0.802,0.175,12.45,0.425,2.32,2.22,0.43,indeterminate
210,28.64906,77.11033,2.12,0.41,2.27,1.30,0.801,0.174,12.49,0.432,2.32,2.23,0.43,indeterminate
211,28.64906,77.11133,2.11,0.40,2.25,1.29,0.798,0.176,12.37,0.460,2.28,2.24,0.43,indeterminate
212,28.64906,77.11233,2.20,0.40,2.22,1.29,0.799,0.188,12.30,0.457,2.29,2.37,0.43,indeterminate
213,28.64906,77.11333,2.34,0.41,2.25,1.29,0.799,0.206,12.33,0.460,2.41,2.53,0.43,indeterminate
214,28.64906,77.11433,2.27,0.41,2.23,1.30,0.799,0.197,12.30,0.458,2.30,2.48,0.43,indeterminate
215,28.64906,77.11533,2.48,0.41,2.19,1.29,0.798,0.225,12.29,0.459,2.51,2.70,0.43,indeterminate
216,28.64906,77.11633,2.42,0.41,2.22,1.30,0.794,0.216,12.30,0.444,2.41,2.65,0.43,indeterminate
217,28.64906,77.11733,2.48,0.41,2.25,1.31,0.796,0.224,12.33,0.448,2.46,2.72,0.43,indeterminate
218,28.64906,77.11833,2.61,0.41,2.26,1.31,0.794,0.239,12.37,0.477,2.63,2.83,0.43,indeterminate
219,28.64906,77.11933,2.54,0.41,2.26,1.31,0.791,0.231,12.36,0.628,2.53,2.77,0.43,indeterminate
220,28.64906,77.12033,2.47,0.41,2.23,1.31,0.788,0.223,12.30,0.663,2.42,2.73,0.43,indeterminate
221,28.64906,77.12133,2.60,0.41,2.23,1.31,0.786,0.240,12.27,0.655,2.54,2.85,0.43,indeterminate
222,28.64906,77.12233,2.67,0.41,2.25,1.32,0.789,0.249,12.31,0.663,2.66,2.89,0.43,indeterminate
223,28.64906,77.12333,2.56,0.41,2.26,1.32,0.790,0.233,12.38,0.658,2.59,2.78,0.43,indeterminate
224,28.64906,77.12433,2.60,0.41,2.21,1.32,0.793,0.237,12.41,0.676,2.62,2.82,0.43,indeterminate
225,28.64906,77.12533,2.36,0.41,2.13,1.31,0.795,0.205,12.41,0.661,2.35,2.59,0.43,indeterminate
226,28.64906,77.12633,2.22,0.41,2.07,1.31,0.797,0.187,12.43,0.593,2.22,2.45,0.43,indeterminate
227,28.64906,77.12733,2.22,0.41,2.04,1.31,0.800,0.186,12.42,0.558,2.20,2.45,0.43,indeterminate
228,28.64906,77.12833,2.21,0.41,2.02,1.30,0.799,0.186,12.40,0.547,2.27,2.40,0.43,indeterminate
229,28.64906,77.12933,1.87,0.41,2.00,1.31,0.798,0.142,12.42,0.517,1.91,2.05,0.43,indeterminate
230,28.64906,77.13033,1.77,0.42,1.99,1.31,0.796,0.130,12.43,0.512,1.87,1.91,0.43,indeterminate
231,28.64906,77.13133,1.77,0.42,1.96,1.31,0.794,0.131,12.41,0.501,1.92,1.88,0.43,indeterminate
232,28.64906,77.13233,1.44,0.42,1.97,1.31,0.791,0.094,12.40,0.481,1.55,1.56,0.43,indeterminate
233,28.64906,77.13333,1.40,0.42,1.96,1.32,0.788,0.090,12.38,0.504,1.46,1.55,0.43,indeterminate
234,28.64906,77.13433,1.33,0.42,1.97,1.32,0.788,0.083,12.37,0.518,1.37,1.49,0.43,indeterminate
235,28.64906,77.13533,1.13,0.42,2.00,1.33,0.786,0.065,12.36,0.528,1.16,1.29,0.43,indeterminate
236,28.64906,77.13633,1.15,0.42,2.00,1.34,0.791,0.067,12.35,0.535,1.13,1.34,0.43,indeterminate
237,28.64906,77.13733,1.13,0.42,2.00,1.34,0.791,0.066,12.34,0.535,1.06,1.35,0.43,indeterminate
238,28.64906,77.13833,0.95,0.42,2.03,1.34,0.790,0.051,12.35,0.505,0.86,1.17,0.43,elastic_dominant
239,28.64906,77.13933,0.86,0.42,2.05,1.35,0.790,0.045,12.35,0.516,0.72,1.11,0.43,elastic_dominant
240,28.64906,77.14033,0.69,0.42,2.07,1.35,0.789,0.034,12.34,0.518,0.48,0.98,0.43,elastic_dominant
241,28.64906,77.14133,0.70,0.42,2.09,1.35,0.793,0.035,12.32,0.579,0.47,0.99,0.43,elastic_dominant
242,28.64906,77.14233,0.64,0.42,2.18,1.36,0.796,0.033,12.35,0.622,0.36,0.97,0.43,elastic_dominant
243,28.64906,77.14333,0.69,0.42,2.24,1.37,0.799,0.037,12.40,0.568,0.42,1.02,0.43,elastic_dominant
244,28.64906,77.14433,0.59,0.42,2.25,1.37,0.802,0.032,12.41,0.485,0.31,0.92,0.43,elastic_dominant
245,28.64906,77.14533,0.66,0.42,2.30,1.37,0.805,0.036,12.41,0.402,0.39,0.97,0.43,elastic_dominant
246,28.64906,77.14633,0.59,0.42,2.32,1.37,0.810,0.033,12.42,0.340,0.23,0.97,0.29,elastic_dominant
247,28.64906,77.14733,0.27,0.42,2.30,1.37,0.811,0.021,12.39,0.337,-0.05,0.62,0.29,elastic_dominant
248,28.64906,77.14833,0.21,0.41,2.27,1.36,0.815,0.019,12.29,0.343,-0.11,0.54,0.43,elastic_dominant
250,28.64906,77.15033,0.55,0.42,2.40,1.37,0.823,0.033,12.35,0.295,0.31,0.82,0.29,elastic_dominant
251,28.64906,77.15133,1.29,0.41,2.58,1.37,0.832,0.091,12.31,0.306,1.08,1.55,0.29,elastic_dominant
252,28.64906,77.15233,1.49,0.41,2.55,1.36,0.831,0.112,12.27,0.310,1.37,1.69,0.29,indeterminate
253,28.64906,77.15333,1.33,0.41,2.48,1.36,0.828,0.094,12.28,0.299,1.16,1.55,0.29,indeterminate
254,28.64906,77.15433,1.50,0.41,2.52,1.36,0.830,0.112,12.33,0.282,1.33,1.72,0.29,indeterminate
255,28.64906,77.15533,1.66,0.41,2.56,1.36,0.828,0.129,12.33,0.295,1.63,1.78,0.29,indeterminate
256,28.64906,77.15633,1.81,0.41,2.58,1.37,0.826,0.147,12.36,0.360,1.73,1.97,0.29,indeterminate
257,28.64906,77.15733,1.99,0.41,2.71,1.38,0.823,0.169,12.39,0.401,1.78,2.22,0.29,indeterminate
258,28.64906,77.15833,2.02,0.41,2.62,1.38,0.824,0.171,12.37,0.445,1.79,2.25,0.29,indeterminate
259,28.64906,77.15933,2.04,0.41,2.65,1.38,0.821,0.174,12.36,0.477,1.76,2.30,0.29,indeterminate
260,28.64906,77.16033,2.37,0.41,2.67,1.39,0.822,0.215,12.41,0.516,2.06,2.65,0.29,indeterminate
261,28.64906,77.16133,2.24,0.41,2.61,1.38,0.820,0.198,12.37,0.556,1.90,2.53,0.29,indeterminate
262,28.64906,77.16233,2.42,0.41,2.60,1.38,0.812,0.221,12.37,0.559,2.04,2.71,0.29,indeterminate
263,28.64906,77.16333,2.53,0.41,2.54,1.38,0.811,0.234,12.40,0.547,2.16,2.81,0.29,indeterminate
264,28.64906,77.16433,2.65,0.41,2.50,1.38,0.810,0.249,12.36,0.510,2.18,2.97,0.29,indeterminate
265,28.64906,77.16533,2.61,0.41,2.40,1.37,0.806,0.243,12.34,0.488,2.08,2.95,0.29,indeterminate
266,28.64906,77.16633,2.76,0.41,2.36,1.37,0.799,0.262,12.33,0.475,2.22,3.09,0.29,indeterminate
267,28.64906,77.16733,2.90,0.41,2.28,1.36,0.799,0.282,12.25,0.446,2.33,3.22,0.29,indeterminate
268,28.64906,77.16833,2.69,0.41,2.08,1.34,0.791,0.253,12.20,0.419,1.99,3.06,0.29,indeterminate
269,28.64906,77.16933,2.69,0.41,1.97,1.34,0.786,0.252,12.18,0.348,1.97,3.05,0.29,indeterminate
270,28.64906,77.17033,2.93,0.41,2.09,1.34,0.793,0.288,12.12,0.282,2.34,3.21,0.29,indeterminate
271,28.64906,77.17133,3.18,0.40,2.20,1.34,0.802,0.324,12.10,0.273,2.68,3.43,0.29,indeterminate
272,28.64906,77.17233,3.00,0.39,2.44,1.34,0.803,0.302,12.17,0.245,2.55,3.23,0.29,indeterminate
273,28.64906,77.17333,2.73,0.39,2.54,1.34,0.806,0.267,12.13,0.264,2.36,2.92,0.29,indeterminate
274,28.64906,77.17433,3.03,0.39,2.51,1.35,0.810,0.307,12.16,0.238,2.59,3.25,0.29,indeterminate
275,28.64906,77.17533,3.10,0.39,2.47,1.34,0.811,0.316,12.16,0.228,2.57,3.38,0.29,indeterminate
276,28.64906,77.17633,3.62,0.39,2.31,1.32,0.816,0.383,12.12,0.272,3.20,3.82,0.29,indeterminate
277,28.64906,77.17733,3.66,0.40,2.37,1.33,0.817,0.388,12.12,0.287,3.26,3.85,0.29,indeterminate
278,28.64906,77.17833,3.73,0.39,2.42,1.33,0.819,0.396,12.16,0.340,3.19,4.00,0.29,indeterminate
279,28.64906,77.17933,3.53,0.39,2.40,1.32,0.817,0.370,12.16,0.384,3.07,3.74,0.29,indeterminate
280,28.64906,77.18033,3.76,0.39,2.39,1.32,0.818,0.400,12.15,0.412,3.28,3.99,0.29,indeterminate
281,28.64906,77.18133,3.82,0.39,2.39,1.32,0.818,0.407,12.15,0.431,3.31,4.06,0.29,indeterminate
282,28.64906,77.18233,3.65,0.39,2.32,1.32,0.813,0.385,12.15,0.451,3.11,3.89,0.29,indeterminate
283,28.64906,77.18333,3.50,0.39,2.33,1.32,0.810,0.365,12.16,0.461,2.98,3.72,0.29,indeterminate
284,28.64906,77.18433,3.67,0.39,2.38,1.32,0.808,0.386,12.16,0.477,3.18,3.86,0.29,indeterminate
285,28.64906,77.18533,3.59,0.39,2.41,1.32,0.809,0.376,12.19,0.463,3.11,3.79,0.29,indeterminate
286,28.64906,77.18633,3.59,0.39,2.44,1.32,0.807,0.375,12.22,0.453,3.09,3.79,0.29,indeterminate
287,28.64906,77.18733,3.59,0.39,2.55,1.33,0.807,0.375,12.24,0.443,3.12,3.78,0.29,indeterminate
288,28.64906,77.18833,3.43,0.39,2.59,1.34,0.807,0.353,12.30,0.441,2.95,3.61,0.29,indeterminate
289,28.64906,77.18933,3.42,0.39,2.54,1.34,0.806,0.351,12.30,0.480,2.88,3.62,0.29,indeterminate
290,28.64906,77.19033,3.44,0.39,2.48,1.34,0.804,0.353,12.28,0.528,2.86,3.65,0.29,indeterminate
291,28.64906,77.19133,3.28,0.40,2.40,1.33,0.804,0.332,12.31,0.558,2.63,3.54,0.29,indeterminate
292,28.64906,77.19233,3.36,0.40,2.41,1.34,0.805,0.341,12.33,0.600,2.68,3.62,0.29,indeterminate
293,28.64906,77.19333,3.38,0.40,2.53,1.35,0.808,0.345,12.36,0.616,2.71,3.65,0.29,indeterminate
294,28.64906,77.19433,3.16,0.40,2.49,1.35,0.810,0.315,12.39,0.582,2.49,3.42,0.29,indeterminate
295,28.64906,77.19533,3.32,0.40,2.51,1.35,0.816,0.336,12.39,0.553,2.68,3.57,0.29,indeterminate
296,28.64906,77.19633,3.37,0.40,2.56,1.35,0.819,0.344,12.37,0.488,2.75,3.60,0.29,indeterminate
297,28.64906,77.19733,3.44,0.40,2.58,1.35,0.826,0.354,12.35,0.453,2.86,3.66,0.29,indeterminate
298,28.64906,77.19833,3.53,0.40,2.64,1.35,0.830,0.367,12.33,0.435,3.00,3.72,0.29,indeterminate
299,28.64906,77.19933,3.48,0.40,2.66,1.36,0.832,0.361,12.33,0.422,2.93,3.69,0.29,indeterminate
300,28.64906,77.20033,3.65,0.40,2.68,1.35,0.843,0.387,12.23,0.414,3.21,3.80,0.29,indeterminate
301,28.64906,77.20133,4.34,0.42,2.34,1.37,0.855,0.463,12.30,0.390,4.06,4.39,0.29,indeterminate
302,28.64906,77.20233,3.43,0.40,2.37,1.34,0.833,0.357,12.20,0.326,2.87,3.61,0.29,indeterminate
303,28.64906,77.20333,3.63,0.40,2.24,1.33,0.844,0.383,12.18,0.340,3.19,3.75,0.29,indeterminate
304,28.64906,77.20433,3.43,0.40,2.21,1.32,0.838,0.357,12.17,0.492,3.01,3.54,0.29,indeterminate
305,28.64906,77.20533,3.63,0.40,2.36,1.32,0.839,0.384,12.16,0.580,3.27,3.72,0.29,indeterminate
306,28.64906,77.20633,4.01,0.40,2.56,1.33,0.846,0.433,12.14,0.598,3.78,4.03,0.29,indeterminate
307,28.64906,77.20733,3.70,0.40,2.66,1.33,0.847,0.396,12.15,0.608,3.47,3.74,0.29,indeterminate
308,28.64906,77.20833,3.61,0.40,2.76,1.32,0.850,0.386,12.18,0.407,3.38,3.68,0.29,indeterminate
309,28.64906,77.20933,3.60,0.40,2.77,1.32,0.853,0.386,12.15,0.397,3.43,3.64,0.29,indeterminate
310,28.64906,77.21033,3.37,0.40,2.73,1.31,0.852,0.357,12.13,0.411,3.15,3.43,0.29,indeterminate
311,28.64906,77.21133,2.96,0.40,2.66,1.31,0.849,0.304,12.10,0.438,2.72,3.03,0.29,indeterminate
312,28.64906,77.21233,2.99,0.39,2.57,1.29,0.853,0.309,12.04,0.428,2.73,3.06,0.29,indeterminate
313,28.64906,77.21333,2.50,0.39,2.55,1.29,0.851,0.244,12.05,0.454,2.23,2.57,0.29,indeterminate
314,28.64906,77.21433,2.59,0.39,2.57,1.28,0.852,0.255,12.07,0.467,2.36,2.64,0.29,indeterminate
315,28.64906,77.21533,2.87,0.39,2.59,1.28,0.855,0.291,12.11,0.469,2.67,2.89,0.29,indeterminate
316,28.64906,77.21633,2.78,0.39,2.60,1.28,0.859,0.277,12.18,0.415,2.60,2.79,0.29,indeterminate
317,28.64906,77.21733,2.66,0.40,2.69,1.29,0.857,0.258,12.38,0.332,2.51,2.66,0.29,indeterminate
318,28.64906,77.21833,3.09,0.41,2.84,1.31,0.859,0.307,12.62,0.224,3.05,3.03,0.29,indeterminate
319,28.64906,77.21933,3.04,0.41,2.92,1.33,0.864,0.295,12.86,0.163,3.22,2.94,0.29,indeterminate
320,28.64906,77.22033,3.18,0.41,2.92,1.33,0.865,0.312,12.85,0.160,3.40,3.04,0.29,indeterminate
322,28.64906,77.22233,2.90,0.40,2.71,1.28,0.861,0.285,12.46,0.381,2.84,2.82,0.29,indeterminate
323,28.64906,77.22333,2.87,0.40,2.68,1.28,0.861,0.282,12.43,0.566,2.81,2.78,0.29,indeterminate
324,28.64906,77.22433,3.00,0.40,2.70,1.28,0.862,0.299,12.44,0.615,2.97,2.90,0.29,indeterminate
325,28.64906,77.22533,3.12,0.40,2.73,1.28,0.862,0.315,12.46,0.609,3.09,3.02,0.29,indeterminate
326,28.64906,77.22633,3.10,0.40,2.76,1.29,0.861,0.311,12.48,0.602,3.07,2.99,0.29,indeterminate
327,28.64906,77.22733,3.25,0.40,2.75,1.29,0.862,0.330,12.50,0.623,3.23,3.15,0.29,indeterminate
328,28.64906,77.22833,3.34,0.40,2.79,1.29,0.863,0.341,12.51,0.673,3.34,3.22,0.29,indeterminate
